epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,286.264,0.37447,0.74815,0.85503,1,0.69805,0.82975,0.56642,1.10551,1.46233,1.26604,0.000312412,0.000312412,0.000312412
43,292.78,0.31804,0.64925,0.84393,1,0.69805,0.82975,0.56642,1.10551,1.46233,1.26604,0.00028628,0.00028628,0.00028628
44,299.423,0.35531,0.67604,0.86497,1,0.69905,0.81501,0.57751,1.05027,1.51094,1.22103,0.000258564,0.000258564,0.000258564
45,305.98,0.36071,0.6392,0.86743,1,0.69905,0.81501,0.57751,1.05027,1.51094,1.22103,0.000229264,0.000229264,0.000229264
46,312.987,0.35612,0.68088,0.85084,0.99426,0.70833,0.81073,0.56991,0.99604,1.518,1.18127,0.00019838,0.00019838,0.00019838
47,319.335,0.33152,0.66179,0.86429,0.99426,0.70833,0.81073,0.56991,0.99604,1.518,1.18127,0.000165912,0.000165912,0.000165912
48,325.675,0.29604,0.63161,0.85057,0.99274,0.70833,0.82427,0.59232,0.97286,1.47032,1.16845,0.00013186,0.00013186,0.00013186
49,332.045,0.30321,0.62897,0.81776,0.99274,0.70833,0.82427,0.59232,0.97286,1.47032,1.16845,9.6224e-05,9.6224e-05,9.6224e-05
50,338.565,0.36106,0.71107,0.83743,0.98465,0.70833,0.83249,0.60494,0.95313,1.39535,1.17107,5.9004e-05,5.9004e-05,5.9004e-05
1,7.59778,2.42914,5.90848,2.28954,0.00056,0.33333,0.00052,0.0001,2.76055,8.25842,2.69839,2e-05,2e-05,2e-05
2,14.4836,2.31318,6.17359,2.21178,0.00056,0.33333,0.00053,0.00016,2.39445,7.26491,2.47847,5.8812e-05,5.8812e-05,5.8812e-05
3,21.1622,1.94683,6.44728,1.94771,0.00111,0.66667,0.00155,0.00048,2.07182,7.05762,2.16179,9.604e-05,9.604e-05,9.604e-05
4,27.7811,1.48076,4.71432,1.68452,0.00167,1,0.00313,0.00129,1.55018,6.33996,1.67587,0.000131684,0.000131684,0.000131684
5,34.3614,1.16732,4.10556,1.23995,0.00167,1,0.00343,0.00187,1.47873,5.82832,1.47521,0.000165744,0.000165744,0.000165744
6,40.8262,1.1707,3.8153,1.3069,0.00167,1,0.00988,0.00671,1.41896,6.26672,1.35534,0.00019822,0.00019822,0.00019822
7,47.3917,1.15611,10.5061,1.38073,0.00167,1,0.01357,0.00823,1.12641,5.53807,1.25695,0.000229112,0.000229112,0.000229112
8,53.7439,0.94416,3.42603,1.08217,0.00167,1,0.05025,0.0256,1.23279,5.0642,1.44904,0.00025842,0.00025842,0.00025842
9,60.2239,0.99727,2.96997,1.01741,0.00167,1,0.0694,0.03518,1.23347,5.11605,1.42511,0.000286144,0.000286144,0.000286144
10,66.5468,0.85647,2.90334,1.03844,0.00167,1,0.06939,0.02201,1.30579,5.15367,1.47407,0.000312284,0.000312284,0.000312284
11,72.9276,0.97183,3.59036,1.126,0.00167,1,0.00363,0.00199,1.32836,5.13811,1.4793,0.00033684,0.00033684,0.00033684
12,79.9428,0.71544,3.77998,0.9112,0.00167,1,0.00372,0.00204,1.25916,5.1579,1.30105,0.000359812,0.000359812,0.000359812
13,87.0774,0.72132,2.39884,0.96215,0.00167,1,0.0036,0.00216,1.13106,5.14879,1.18781,0.0003812,0.0003812,0.0003812
14,93.6536,1.2129,3.59227,1.10877,0.00167,1,0.00343,0.0024,1.02318,4.82474,1.09616,0.000401004,0.000401004,0.000401004
15,100.457,0.7703,3.21991,0.98166,0.00167,1,0.00337,0.00237,0.86271,4.73058,1.02602,0.000419224,0.000419224,0.000419224
16,107.442,0.78311,2.12504,0.96996,0.00167,1,0.00319,0.00271,0.85337,4.81487,1.04279,0.00043586,0.00043586,0.00043586
17,114.575,0.7762,2.04556,0.93132,0.00167,1,0.00299,0.00197,1.01179,5.02004,1.131,0.000450912,0.000450912,0.000450912
18,121.178,0.81751,2.69552,1.12386,0.00111,0.66667,0.00154,0.00119,1.13647,5.12076,1.31611,0.00046438,0.00046438,0.00046438
19,127.976,0.73855,3.19117,0.92471,0.00111,0.66667,0.00152,0.00117,1.04725,5.05667,1.3165,0.000476264,0.000476264,0.000476264
20,134.92,0.67403,2.28244,0.89107,0.00111,0.66667,0.00147,0.00123,0.99907,5.1205,1.29738,0.000486564,0.000486564,0.000486564
21,141.592,0.8167,2.51951,0.98147,0.00167,1,0.00282,0.0016,1.05875,4.93086,1.23975,0.00049528,0.00049528,0.00049528
22,149.299,0.62751,1.68225,0.87744,0.00167,1,0.00275,0.00189,1.01935,4.72828,1.10296,0.000502412,0.000502412,0.000502412
23,156.059,0.64797,1.50662,0.88922,0.00167,1,0.11344,0.0794,0.97736,4.61857,1.09425,0.00050796,0.00050796,0.00050796
24,162.745,0.61479,1.80427,0.93369,0.00167,1,0.33674,0.23572,0.9843,4.75942,1.14091,0.000511924,0.000511924,0.000511924
25,169.857,0.67401,2.39365,0.91122,0.00167,1,0.04955,0.03486,0.97318,4.74175,1.11345,0.000514304,0.000514304,0.000514304
26,177.022,0.89908,2.548,1.0136,0.00167,1,0.03884,0.02736,1.04181,4.71067,1.12486,0.0005151,0.0005151,0.0005151
27,184.96,0.76634,2.65655,0.97518,0.00167,1,0.3366,0.23566,1.02821,4.92431,1.17074,0.000514312,0.000514312,0.000514312
28,192.208,0.60124,3.18142,0.84545,0.00167,1,0.3366,0.23566,1.02821,4.92431,1.17074,0.00051194,0.00051194,0.00051194
29,199.562,0.7526,1.75455,0.94055,0.00167,1,0.16906,0.10139,1.09037,4.97492,1.26822,0.000507984,0.000507984,0.000507984
30,206.665,0.69319,1.6638,0.93007,0.26168,0.33333,0.34577,0.20547,1.41497,4.85502,1.46306,0.000502444,0.000502444,0.000502444
31,214.002,0.60724,1.59959,0.88635,0.26168,0.33333,0.34577,0.20547,1.41497,4.85502,1.46306,0.00049532,0.00049532,0.00049532
32,222.05,0.77176,2.00971,1.01698,0.36944,0.40554,0.33326,0.15067,1.25584,5.09804,1.48862,0.000486612,0.000486612,0.000486612
33,229.557,0.74315,1.67622,0.9147,0.30635,0.33333,0.30014,0.15717,1.26895,5.39328,1.54014,0.00047632,0.00047632,0.00047632
34,236.528,0.72604,2.2363,0.8457,0.30635,0.33333,0.30014,0.15717,1.26895,5.39328,1.54014,0.000464444,0.000464444,0.000464444
35,244.263,0.67804,1.61588,0.87388,0.42139,0.66667,0.33269,0.14464,1.21413,5.11895,1.53597,0.000450984,0.000450984,0.000450984
36,251.73,0.63962,2.89698,0.84407,0.00824,0.66667,0.33269,0.14455,1.21087,5.30922,1.54359,0.00043594,0.00043594,0.00043594
