epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,708.422,0.71647,0.62882,0.86178,0.91982,0.77419,0.84023,0.52364,1.23264,0.89633,1.18933,0.0004358,0.0004358,0.0004358
81,718.675,0.737,0.62776,0.85053,0.91982,0.77419,0.84023,0.52364,1.23264,0.89633,1.18933,0.000416,0.000416,0.000416
82,728.741,0.74501,0.66913,0.84182,0.95729,0.77419,0.83861,0.53322,1.25927,0.89631,1.20636,0.0003962,0.0003962,0.0003962
83,738.908,0.77567,0.62653,0.87573,0.95729,0.77419,0.83861,0.53322,1.25927,0.89631,1.20636,0.0003764,0.0003764,0.0003764
84,749.924,0.7681,0.64506,0.84305,0.95476,0.77419,0.83529,0.53433,1.2486,0.88223,1.20545,0.0003566,0.0003566,0.0003566
85,759.856,0.74704,0.65105,0.83772,0.95476,0.77419,0.83529,0.53433,1.2486,0.88223,1.20545,0.0003368,0.0003368,0.0003368
86,768.646,0.7132,0.65801,0.83394,0.95437,0.77419,0.83529,0.53994,1.22986,0.85948,1.19909,0.000317,0.000317,0.000317
87,778.446,0.67603,0.62902,0.85755,0.95437,0.77419,0.83529,0.53994,1.22986,0.85948,1.19909,0.0002972,0.0002972,0.0002972
88,787.763,0.65563,0.59205,0.87068,0.95438,0.77419,0.83877,0.53796,1.21072,0.83483,1.19023,0.0002774,0.0002774,0.0002774
89,797.008,0.67436,0.65689,0.86774,0.95438,0.77419,0.83877,0.53796,1.21072,0.83483,1.19023,0.0002576,0.0002576,0.0002576
90,806.669,0.61837,0.57391,0.84936,0.95375,0.77419,0.83886,0.52824,1.20577,0.82997,1.18955,0.0002378,0.0002378,0.0002378
91,815.841,0.60954,0.66497,0.83246,0.95375,0.77419,0.83886,0.52824,1.20577,0.82997,1.18955,0.000218,0.000218,0.000218
92,825.093,0.63723,0.69675,0.80183,0.95005,0.77419,0.83615,0.52696,1.20691,0.8313,1.19225,0.0001982,0.0001982,0.0001982
93,833.481,0.59892,0.62341,0.8274,0.95005,0.77419,0.83615,0.52696,1.20691,0.8313,1.19225,0.0001784,0.0001784,0.0001784
94,840.93,0.66299,0.69621,0.82477,0.95167,0.77419,0.83718,0.53454,1.20205,0.84201,1.19424,0.0001586,0.0001586,0.0001586
95,847.631,0.62544,0.62666,0.81675,0.95167,0.77419,0.83718,0.53454,1.20205,0.84201,1.19424,0.0001388,0.0001388,0.0001388
96,854.343,0.63756,0.6654,0.85248,0.95866,0.77419,0.83632,0.5231,1.19812,0.85231,1.19396,0.000119,0.000119,0.000119
97,861.073,0.60741,0.61128,0.83291,0.95866,0.77419,0.83632,0.5231,1.19812,0.85231,1.19396,9.92e-05,9.92e-05,9.92e-05
98,867.945,0.64157,0.64026,0.82716,0.95988,0.77194,0.8338,0.52418,1.19493,0.86225,1.1907,7.94e-05,7.94e-05,7.94e-05
99,875.32,0.65447,0.6599,0.81353,0.95988,0.77194,0.8338,0.52418,1.19493,0.86225,1.1907,5.96e-05,5.96e-05,5.96e-05
100,882.386,0.61841,0.64963,0.82126,0.95981,0.77043,0.83414,0.52639,1.19765,0.86408,1.1881,3.98e-05,3.98e-05,3.98e-05
